DEPT,ECGR,RD,TNPH,RHOB,DTCO,DTSM
4807.5,77.6384964,8.703300476,0.181556001,2.70539999,66.95980072,113.2050018
4808,71.45089722,6.836200237,0.136372998,2.678100109,59.68059921,99.04199982
4808.5,63.8504982,23.3409996,0.146633998,2.674299955,65.22730255,108.6552963
4809,86.11969757,8.677499771,0.150877997,2.673599958,62.33050156,101.4708023
4809.5,81.47679901,21.72319984,0.179784998,2.727499962,63.25690079,104.8074036
4810,66.64199829,11.38790035,0.110866003,2.721100092,60.15829849,98.76629639
4810.5,62.18170166,14.35079956,0.128582999,2.762599945,65.81369782,112.6125031
4811,71.99780273,11.53409958,0.113368996,2.70630002,67.93139648,117.1302033
4811.5,92.50689697,28.63899994,0.147615001,2.696799994,59.77019882,95.99369049
4812,70.05290222,7.743199825,0.180683002,2.712300062,63.74909973,109.2289963
4812.5,36.97909927,7.449200153,0.112976,2.685899973,72.03780365,130.7041016
4813,62.06029892,20.49099922,0.090518996,2.668400049,77.48101044,144.3363037
4813.5,89.52059937,19.68860054,0.238582999,2.709500074,63.27349854,105.6825028
4814,93.31259918,5.173099995,0.287746996,2.711600065,63.82149887,106.1832962
4814.5,64.56230164,3.976799965,0.173505992,2.770600081,67.34290314,115.6893005
4815,71.90450287,9.597100258,0.167954013,2.71420002,65.90550232,114.9219971
4815.5,75.06759644,12.98639965,0.212225005,2.738699913,69.62129974,131.4790039
4816,78.84500122,7.644199848,0.171608999,2.683399916,71.70639801,129.1253052
4816.5,74.06030273,8.728500366,0.194958001,2.700299978,69.53500366,121.5314026
4817,80.5943985,6.806399822,0.211800993,2.727999926,65.24240112,112.0223007
4817.5,82.68440247,8.346199989,0.202586994,2.719099999,71.92829895,133.3307953
4818,83.93890381,8.980199814,0.214454994,2.752399921,78.6108017,150.0863953
4818.5,108.8626022,6.544499874,0.277029008,2.707099915,69.58779907,125.4350967
4819,86.74649811,4.075799942,0.256586999,2.725399971,74.30639648,142.2630005
4819.5,101.9524994,4.769599915,0.231368005,2.763499975,71.86650085,136.077301
4820,96.26000214,5.414199829,0.344547987,2.799799919,71.73220062,137.3218994
4820.5,90.24970245,4.722300053,0.32317102,2.916699886,72.74040222,138.2707977
4821,78.22650147,6.148700237,0.334266007,2.782200098,71.65249634,137.0955963
4821.5,85.37519836,4.844799995,0.337806016,2.795300007,70.87419891,134.7236023
4822,85.56960297,5.508500099,0.296490014,2.764199972,71.52200317,136.8424988
4822.5,93.46240234,5.792300224,0.335456014,2.770800114,73.72850037,143.0108032
4823,96.38809967,5.485799789,0.341811985,2.752300024,75.63150024,147.1427002
4823.5,99.23449707,4.975800037,0.367913008,2.798799992,75.51460266,145.547699
4824,111.6063004,4.486499786,0.402453989,2.76060009,76.62330627,148.7546997
4824.5,106.689003,4.183599949,0.389488995,2.752300024,77.38359833,152.5305023
4825,107.6341019,4.372000217,0.364897996,2.748100042,78.87680054,151.3078919
4825.5,96.35440064,3.977799892,0.376738012,2.746299982,71.79380035,132.1354065
4826,87.15969849,4.548200131,0.319770992,2.746900082,66.45290375,114.1138001
4826.5,74.43579865,8.526000023,0.23702699,2.80250001,66.97979736,115.8963013
4827,92.4960022,10.48139954,0.206187993,2.73029995,69.26029968,115.8153992
4827.5,93.20420075,10.8817997,0.218393996,2.7651999,62.16279984,103.5402985
4828,78.94390106,11.90719986,0.187436014,2.725699902,64.79000092,110.7501984
4828.5,100.1334992,13.03369999,0.189664006,2.736900091,66.54589844,114.1031036
4829,87.9940033,9.728300095,0.21265699,2.738600016,67.20670319,119.1220017
4829.5,87.82550049,9.723500252,0.210159004,2.73300004,61.20000076,104.016098
4830,73.51950073,11.06649971,0.162677005,2.721899986,64.56790161,101.9972
4830.5,101.9932022,24.07519913,0.141497999,2.725699902,67.00140381,107.5938034
4831,109.8710022,20.04999924,0.200734004,2.741300106,67.19680023,116.3943024
4831.5,83.70960236,14.79829979,0.204169005,2.724100113,60.76490021,112.1673966
4832,106.6585999,6.783599854,0.193815008,2.723599911,69.19069672,120.0893021
4832.5,102.4878006,7.716599941,0.260953993,2.743700028,69.27610016,125.4748001
4833,101.4088974,8.000200272,0.260955989,2.752199888,69.29949951,123.9989014
4833.5,104.6350021,8.043399811,0.247857004,2.742000103,70.37989807,124.8751984
4834,120.1678009,6.71780014,0.261487007,2.744499922,69.27100372,123.4888916
4834.5,105.5752029,6.863699913,0.238078997,2.740400076,67.11250305,117.055603
4835,93.17720032,8.065999985,0.228405997,2.77670002,67.24120331,117.496109
4835.5,87.70140076,8.798800468,0.227164,2.741899967,67.74559784,119.0664902
4836,97.47419739,9.055500031,0.232010007,2.748300076,68.40460205,119.531601
4836.5,90.063797,8.005200386,0.208330989,2.721899986,67.75250244,116.146698
4837,78.08560181,8.390099526,0.179218009,2.719000101,64.67990112,106.3990021
4837.5,98.31310272,9.863599777,0.162499011,2.787699938,61.80849838,103.0560989
4838,80.64820099,11.80879974,0.161515996,2.716100216,63.59149933,107.4336014
4838.5,95.123703,11.38679981,0.188682988,2.752099991,65.68710327,113.1598969
4839,81.76399994,12.05220032,0.180287987,2.71269989,63.98820114,108.5177994
4839.5,54.62540054,12.48400021,0.159500003,2.707000017,64.36019898,100.9872971
4840,70.07730103,13.76500034,0.130915999,2.700400114,60.95489883,97.65959168
4840.5,110.4714966,20.17180061,0.181928009,2.743599892,67.42900085,120.6579971
4841,108.2219009,11.27210045,0.239687011,2.749000073,68.74030304,123.5924988
4841.5,108.0506973,8.847399712,0.257968009,2.727300167,72.3538971,134.7666016
4842,107.4363022,6.515500069,0.314741015,2.790699959,75.125,145.6730957
4842.5,127.2844009,5.278800011,0.33910501,2.744399786,76.85189819,149.0883026
4843,113.6533966,4.551799774,0.338180989,2.751699925,77.43180084,148.8728943
4843.5,117.4559021,4.37349987,0.370974004,2.732500076,76.67960358,146.7427063
4844,122.1752014,4.261300087,0.342475027,2.749500036,74.12059784,142.5444946
4844.5,124.888298,4.354599953,0.363945007,2.769999981,76.44290161,150.7837067
4845,110.6818008,4.158599854,0.383165002,2.7348001,76.34120178,148.7996979
4845.5,111.1521988,4.047999859,0.381192029,2.74180007,77.94319916,152.5558014
4846,109.2797012,4.186500073,0.374550998,2.738300085,77.64479828,152.1781006
4846.5,118.9296036,4.110000134,0.392500013,2.717299938,76.8789978,150.9176025
4847,117.3993988,4.125,0.37282902,2.738500118,77.10690308,151.2286987
4847.5,122.075798,4.346700192,0.378517002,2.758599997,76.53940582,150.1562042
