DEPT,ECGR,RD,DTCO,DTSM,RHOB,TNPH
5007.5,73.07740021,19.53179932,62.91239929,104.3034973,2.700900078,0.160219997
5008,74.60890198,21.70019913,62.60400009,106.6940994,2.668600082,0.156804994
5008.5,78.99649811,20.22610092,61.32780075,112.8097992,2.680099964,0.161587998
5009,86.91819763,19.4708004,68.33200073,119.7500992,2.689899921,0.176699013
5009.5,90.46029663,16.12680054,68.6210022,127.6509018,2.727300167,0.252285987
5010,87.1155014,14.03999996,67.31240082,124.1584015,2.677200079,0.269950986
5010.5,86.81790161,13.34990025,68.33100128,127.1925964,2.699899912,0.257470012
5011,97.82119751,12.32069969,70.62180328,130.9279938,2.705800057,0.264552981
5011.5,97.25669861,10.23659992,70.35399628,127.2409973,2.652899981,0.291842997
5012,88.89019775,9.793199539,68.99490356,125.4960022,2.664400101,0.275646001
5012.5,101.1476975,9.563500404,70.5388031,124.6593094,2.694900036,0.266391993
5013,91.60030365,9.418800354,67.14759827,120.6533966,2.668100119,0.26521799
5013.5,83.35579681,11.58880043,66.45899963,120.0755005,2.679100037,0.242483005
5014,92.10150147,15.56739998,68.59899902,123.1789017,2.71510005,0.226989001
5014.5,86.77059937,11.10509968,68.1934967,120.713501,2.697299957,0.250254005
5015,78.43920136,9.869999886,64.43959808,113.6131897,2.72480011,0.222826004
5015.5,83.56030273,18.79000092,64.56510162,113.4641037,2.706399918,0.206399992
5016,97.38809967,19.29059982,68.4865036,119.6716003,2.668600082,0.211275995
5016.5,98.92810059,15.3803997,68.35040283,119.9470902,2.64289999,0.237617001
5017,78.85759735,14.5571003,64.96150208,115.0568008,2.661299944,0.234023005
5017.5,85.21759796,16.40699959,68.09120178,119.2928009,2.707099915,0.22740601
5018,83.02120209,17.44420052,64.47940064,112.986702,2.678299904,0.243525013
5018.5,74.3710022,17.64170075,64.33660126,111.8971024,2.710999966,0.198697001
5019,79.07489777,20.62150002,64.46929932,112.401001,2.69720006,0.195680007
5019.5,78.45700073,15.87650013,65.63240051,113.9156036,2.723500013,0.208846003
5020,79.30069733,16.19569969,63.41080093,113.8853989,2.727799892,0.220358014
5020.5,83.8302002,16.48489952,65.24819946,112.0371018,2.788100004,0.209174007
5021,74.9509964,15.18470001,64.37789917,106.0242004,2.711400032,0.187651992
5021.5,70.12169647,18.19210053,62.44950104,104.9757004,2.656500101,0.170011997
5022,69.36129761,24.7765007,62.49079895,104.4218979,2.655600071,0.161908001
5022.5,64.62449646,28.72660065,61.24229813,102.6645966,2.683000088,0.155164003
5023,68.67810059,29.37999916,62.2770958,103.8097,2.673599958,0.148193002
5023.5,80.9980011,28.69179916,64.41139984,106.6642914,2.649300098,0.169815004
5024,84.98049927,23.73069954,64.4763031,111.3878937,2.659699917,0.195020005
5024.5,85.69200134,21.38960075,66.85479736,112.7209015,2.715600014,0.199738011
5025,71.25650024,17.26110077,63.14759827,107.1176987,2.65809989,0.199002996
5025.5,78.76210022,20.33939934,64.49569702,105.3979034,2.745699883,0.192047998
5026,77.79000092,20.75090027,62.40399933,103.8627014,2.723799944,0.172169
5026.5,70.24530029,24.33349991,62.77819824,101.7302017,2.72939992,0.158207998
5027,69.90139771,16.56850052,60.63780212,98.94270325,2.658799887,0.134799004
5027.5,73.9292984,25.99720001,60.80989838,99.48899078,2.674799919,0.136876002
5028,69.96140289,19.01479912,61.4408989,98.48750305,2.63409996,0.124125004
5028.5,74.9496994,21.97500038,61.59289932,101.1276016,2.680099964,0.128986999
5029,71.75279999,20.44490051,60.08050156,97.73619843,2.676500082,0.113507994
5029.5,61.24539948,26.81879997,60.34360504,98.728302,2.694900036,0.113623999
5030,62.18709946,23.6147995,60.5144043,96.71309662,2.719899893,0.106969997
5030.5,58.6495018,29.45299912,62.28279877,97.915802,2.697499991,0.094434999
5031,58.91460037,26.97249985,63.52199936,101.6969986,2.655600071,0.104612999
5031.5,65.37889862,27.0666008,62.80099487,99.17199707,2.653399944,0.109455995
5032,60.46910095,25.05069923,59.34669876,88.72280121,2.640100002,0.104401
5032.5,56.28210068,26.83119965,60.49359894,86.62670136,2.61439991,0.097732
5033,53.00370026,30.21139908,62.33900452,104.8411026,2.3822999,0.085341997
5033.5,79.0428009,44.42350006,63.43690491,109.5850983,2.253400087,0.082231998
5034,96.83119965,23.64069939,63.13970184,110.5565033,2.683000088,0.113165997
5034.5,92.29109955,19.46800041,63.18529892,102.5245972,2.701699972,0.145153001
5035,88.81790161,20.17970085,63.15060043,103.0848007,2.698199987,0.142408997
5035.5,94.83570099,21.52339935,60.94169617,104.1769943,2.69659996,0.143928006
5036,97.63009644,27.65679932,63.30630112,104.7987976,2.716599941,0.14887999
5036.5,121.5202026,21.54470062,64.42520142,106.2230911,2.772200108,0.206201002
5037,102.521698,20.29800034,62.29299927,105.1676025,2.806299686,0.259360999
5037.5,105.9848023,34.3302002,60.6629982,104.2157974,2.885799885,0.292028993
5038,87.27249908,71.20649719,62.29119873,102.9982987,2.964400053,0.303911984
5038.5,62.03079987,118.3322983,64.40979767,91.52619934,2.833300114,0.251879007
5039,48.69869995,52.271801,64.49299622,75.97029877,2.699399948,0.184032992
5039.5,38.53509903,33.15269852,66.39689636,97.44719696,2.454099894,0.156493992
5040,50.26269913,28.35059929,64.87200165,106.7807922,2.39199996,0.102730997
5040.5,86.8635025,23.65390015,65.10939789,104.0596008,2.506400108,0.113878004
5041,73.02519989,22.50139999,68.39209747,122.0023041,2.447700024,0.137297005
5041.5,59.47800064,24.86070061,68.50160217,112.0120087,2.639199972,0.130539998
5042,71.83070374,21.77050018,66.53289795,104.1065979,2.581899881,0.146530002
5042.5,74.57409668,26.17180061,62.60440064,94.26339722,2.647399902,0.184707999
5043,57.74679947,30.06959915,64.73509979,97.38210297,2.511100054,0.189089999
5043.5,51.76240158,28.46649933,65.48300171,99.39880371,2.572700024,0.146061003
5044,44.62549973,28.09079933,68.24839783,98.57830811,2.547800064,0.122672997
5044.5,50.0367012,28.37619972,65.42179871,99.22489929,2.564100027,0.115867004
5045,50.84109879,25.17110062,61.64400101,96.14199829,2.504800081,0.109925002
5045.5,51.3321991,32.6181984,63.52069855,97.6230011,2.562599897,0.089462005
5046,48.50460053,47.12390137,66.70079804,98.16149902,2.612799883,0.076388001
5046.5,53.46569824,35.05550003,61.24619675,98.30660248,2.495399952,0.078594998
5047,66.73609924,22.63680077,65.33110046,98.07810211,2.629400015,0.092683002
5047.5,51.76440048,21.41880035,67.24890137,99.09880066,2.555799961,0.084578998
5048,57.23720169,20.67849922,66.2315979,98.83390045,2.536499977,0.083794005
5048.5,53.27590179,18.76000023,66.5861969,101.5455017,2.60800004,0.084361002
5049,51.58449936,21.03829956,59.20700073,95.66119385,2.58220005,0.096899994
5049.5,65.10700226,40.69720078,64.32250214,96.35559845,2.570300102,0.081119001
5050,45.00289917,24.76659966,67.13349915,97.19819641,2.581500053,0.072167002
5050.5,44.56520081,32.98889923,58.45270157,92.0530014,2.5006001,0.084938005
5051,52.16279984,60.06409836,59.50870132,93.48760223,2.569999933,0.091674
5051.5,62.35210037,36.65549851,59.32509995,92.07840729,2.529700041,0.064320996
5052,50.86700058,44.53120041,62.4367981,91.45259857,2.539299965,0.071203001
5052.5,46.78820038,68.59269714,60.47800064,93.67019653,2.419699907,0.070345998
5053,64.45220184,41.09960175,63.72129822,95.71190643,2.595099926,0.075404003
5053.5,51.10070038,36.64979935,62.69979858,95.98409271,2.455300093,0.106187001
5054,67.66739655,35.22359848,62.38460159,96.87559509,2.59890008,0.083535999
5054.5,43.10620117,19.6480999,65.5632019,94.49919891,2.5151999,0.08484
5055,37.72180176,26.92020035,53.14490128,90.0309906,2.554199934,0.082257003
5055.5,64.92269898,42.10599899,65.11759949,95.10140228,2.296499968,0.060654998
5056,53.19350052,23.14299965,66.92890167,96.89070892,2.233799934,0.075358003
5056.5,44.61880112,19.3491993,66.4496994,98.00460053,2.456799984,0.120481998
5057,52.04259872,19.75230026,64.39769745,97.18891144,2.481800079,0.119622
5057.5,70.73190308,25.71319962,65.08879852,98.00360107,2.478699923,0.103725001
5058,53.04470062,18.79570007,66.73059845,98.42150116,2.560899973,0.104648002
5058.5,50.27299881,19.53129959,68.83380127,101.3227997,2.555799961,0.091729
5059,63.30830002,21.27050018,62.33369827,97.19470215,2.496999979,0.105221003
5059.5,50.67089844,19.46759987,67.59619904,103.8174973,2.576299906,0.083311006
5060,52.42979813,18.81259918,64.63289642,98.86720276,2.621099949,0.080059007
5060.5,47.86230087,18.63059998,59.32600021,95.90110016,2.639199972,0.069872998
5061,55.645401,45.00719833,65.35569763,104.0285034,2.611900091,0.059499003
5061.5,54.10169983,15.98180008,68.47090149,103.7699966,2.543600082,0.067497999
5062,71.63510132,16.26239967,63.40190506,102.1579895,2.600199938,0.085600995
5062.5,73.25029755,15.39900017,65.19080353,103.1854019,2.640000105,0.104321003
5063,86.02410126,17.60810089,66.5196991,98.49340057,2.498500109,0.098461002
5063.5,92.69280243,20.37730026,60.50870132,96.30139923,2.508100033,0.092100002
5064,63.23559952,17.13529968,62.32239914,96.67060089,2.708600044,0.102288999
5064.5,77.90350342,17.97879982,62.70029831,96.99079895,2.665199995,0.085914001
5065,67.97640228,18.14900017,64.80290222,96.54709625,2.616600037,0.090845004
5065.5,81.04340363,21.41769981,63.19100189,96.16101074,2.592299938,0.069857001
5066,98.58529663,20.12649918,59.49860001,96.64610291,2.716500044,0.091078997
5066.5,64.917099,21.53170013,61.11009598,96.95320129,2.69630003,0.088146001
5067,55.55789948,22.06469917,63.77339935,97.66249847,2.645200014,0.082365997
5067.5,83.34539795,20.46929932,66.63749695,97.39700317,2.413800001,0.102378994
5068,73.94709778,27.37579918,64.4736023,98.17089844,2.482000113,0.100382
5068.5,60.82649994,17.56360054,64.51560211,98.20980072,2.605799913,0.114962995
5069,56.63790131,23.51259995,66.39099884,98.71080017,2.526000023,0.080948003
5069.5,76.01329804,20.02099991,65.01540375,101.8093033,2.53489995,0.069775
5070,70.83519745,22.23760033,60.29249954,95.64769745,2.587899923,0.078584999
5070.5,65.29360199,23.26079941,60.4632988,93.15239716,2.565900087,0.074306004
5071,82.75240326,35.14599991,63.59149933,94.32510376,2.466500044,0.077459998
5071.5,68.34960175,28.80879974,63.81499481,95.81610107,2.539400101,0.081290998
5072,85.47319794,27.36219978,58.7181015,96.61029816,2.591599941,0.086603001
5072.5,75.4394989,26.56340027,62.55080032,97.31690216,2.52670002,0.063478001
5073,84.02249908,26.59059906,62.48929977,97.56759644,2.643199921,0.068997003
5073.5,66.07649994,25.43289948,60.19629669,96.63490295,2.613600016,0.066652
5074,81.81009674,25.86860085,60.45299912,96.89490509,2.539599896,0.065384999
5074.5,80.26809692,24.34289932,60.45849991,96.95760346,2.658899784,0.078467004
5075,69.50309753,22.43129921,60.44210053,97.4673996,2.649800062,0.071080998
5075.5,79.51319885,20.53440094,60.35050201,96.79660034,2.647500038,0.069606997
5076,73.7181015,42.04600143,61.62680054,100.5654984,2.683599949,0.064108998
